znak;znakRank;komb;je OK;ni OK
E4E7;1;0112+0306;;X
E4E7;100;0045+0304+0306;;X
E4E8;1;0228+0304;;X
E4E8;100;0045+0327+0304;;X
E4E9;1;0116+0303;;X
E4E9;100;0045+0307+0303;;x
E4EA;1;1EB8+0311;;X
E4EA;100;0045+0323+0311;;X
E4EC;1;0045+0325;X;
E4EE;1;042D+0300;;X
E4EF;1;042D+0301;;x
E4F0;1;018F+0335;;X
E4F1;1;0404+0300;;x
E4F2;1;0404+0301;;X
E4F3;1;00CA+0304;X;
E4F3;100;0045+0302+0304;;X
E4F4;1;00CA+030C;;X
E4F4;100;0045+0302+030C;;X
E4F5;1;018E+0300;;X
E4F6;1;018E+0301;;X
E4F7;1;018F+0300;;X
E4F8;1;018F+0301;;X
E4F9;1;00C9+0324;X;
E4F9;100;0045+0324+0301;;X
E4FA;1;0045+0324;;X
E4FB;1;0190+0301;;X
E4FC;1;0045+20DE;X;
E4FD;1;042D+0304;;x
E4FE;1;0404+0304;;x
E4FF;1;0118+0301;;X
E4FF;100;0045+0328+0301;;x
E500;1;1ECB+0300;;x
E500;100;0069+0323+0300;;x
E501;1;00EC+0324;X;
